City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,kundiawa,-6.0167,144.9667,59.7,98,100,1.57,PG,1691263346
350,colonia,50.9333,6.95,63.43,86,0,5.75,DE,1691263083
351,alo,7.4178,6.7371,75.65,94,100,4.52,NG,1691263346
352,vodnyy,63.5046,53.4095,62.71,97,85,1.7,RU,1691263347
353,palu,-0.8917,119.8707,75.15,96,12,3.51,ID,1691263347
354,guarapari,-20.6667,-40.4975,77.9,72,3,8.72,BR,1691263055
355,iwanai,42.9744,140.5089,72.91,99,100,2.19,JP,1691263347
356,dalandzadgad,43.5708,104.425,78.24,17,57,9.64,MN,1691263347
357,geraldton,-28.7667,114.6,48.61,93,10,3.44,AU,1691263347
358,chardara,41.2547,67.9692,81.82,34,51,8.77,KZ,1691263347
359,cromwell,41.5951,-72.6454,87.04,55,40,8.05,US,1691263347
360,amahai,-3.3333,128.9167,75.45,89,94,9.24,ID,1691263348
361,broome,42.2506,-75.833,80.62,63,75,8.05,US,1691263348
362,chanal,16.7167,-92.4,75.76,47,4,5.91,MX,1691263348
